ip,expected_state_name,service_state_name,note
117.203.4.102,Punjab,Uttarakhand,
61.2.17.126,Tamil Nadu,Union Territory of Puducherry,
103.109.222.174,Arunachal Pradesh,Tripura,
152.59.86.56,Uttar Pradesh,Chandigarh,
117.209.223.212,Manipur,Nagaland,
117.223.23.46,Chhattisgarh,Goa,
117.252.23.149,Bihar,Andaman and Nicobar,
117.252.23.202,Bihar,Andaman and Nicobar,
223.230.167.146,Bihar,Jharkhand,
223.236.85.181,Rajasthan,Uttar Pradesh,
115.247.204.236,Uttarakhand,Gujarat,
203.200.219.22,Maharashtra,Telangana,
203.134.206.123,Punjab,Chandigarh,
117.209.223.86,Manipur,Nagaland,
125.16.55.207,Haryana,,
223.239.110.222,Meghalaya,Arunachal Pradesh,
223.189.79.203,Telangana,,
49.249.124.38,Tamil Nadu,Uttar Pradesh,
117.209.225.204,Nagaland,Meghalaya,
192.232.41.45,Assam,,
117.204.100.143,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,
42.105.187.181,Telangana,Nagaland,
117.222.218.241,Gujarat,Dadra and Nagar Haveli and Daman and Diu,
203.200.20.89,Karnataka,Telangana,
106.221.127.70,West Bengal,Arunachal Pradesh,
115.113.206.196,Jharkhand,Uttar Pradesh,
125.23.47.116,Karnataka,Haryana,
117.208.223.108,Punjab,Rajasthan,
43.251.175.218,Telangana,Chhattisgarh,
103.66.8.15,Punjab,Himachal Pradesh,
182.74.65.17,National Capital Territory of Delhi,Haryana,
203.78.208.9,Maharashtra,,
122.252.236.39,Maharashtra,Karnataka,
203.134.204.89,Punjab,Chandigarh,
117.204.101.138,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,
117.252.21.68,Bihar,Andaman and Nicobar,
14.143.179.41,Karnataka,Telangana,
117.209.223.20,Manipur,Nagaland,
59.144.235.96,Uttar Pradesh,Karnataka,
117.252.23.167,Bihar,Andaman and Nicobar,
223.30.118.251,Maharashtra,,
103.99.52.90,Hubei,Mizoram,
103.109.222.1,Arunachal Pradesh,Tripura,
117.252.16.220,Bihar,Andaman and Nicobar,
